image_id,algorithm,W,H,S_raw,S_encoded,CR,saving_percent,bpp,T_enc,T_decode,T_total,PeakRSS,PeakRSS_additional,PSNR,SSIM,lossless_exact
1096,LZW,512,384,589824,598393,0.9856799795452152,-1.452806260850692,24.348673502604168,0.007501344000047538,0.0030878140000822896,0.010589158000129828,258764,0,inf,1.0,True
1096,Slepian-Wolf,512,384,589824,571411,1.032223740880032,3.121778700086808,23.250773111979168,0.1187196139999287,2.0234865219999847,2.1422061359999134,258764,0,33.65739946532155,0.9669906216831899,False
1096,Wyner-Ziv,512,384,589824,276504,2.133148164221856,53.12093098958333,11.2509765625,0.11720041199987463,1.8367886880000697,1.9539890999999443,258764,0,30.746602637850884,0.8980955199597919,False
1097,JPEG,512,384,589824,49991,11.798603748674761,91.52442084418404,2.0341389973958335,0.0010456410000188043,0.0011957379997511453,0.0022413789997699496,258764,0,32.22625905214657,0.9228186855221624,False
1097,Huffman,512,384,589824,579492,1.0178294092066844,1.751708984375,23.57958984375,0.03972829000031197,0.11729185400008646,0.15702014400039843,258764,0,inf,1.0,True
1097,LZW,512,384,589824,576285,1.0234935839037975,2.295430501302087,23.4490966796875,0.005998588000238669,0.002637149000292993,0.008635737000531662,258764,0,inf,1.0,True
1097,Slepian-Wolf,512,384,589824,571411,1.032223740880032,3.121778700086808,23.250773111979168,0.10929347499995856,2.088816480999867,2.1981099559998256,258764,0,31.69893072048151,0.953371066820483,False
1097,Wyner-Ziv,512,384,589824,276504,2.133148164221856,53.12093098958333,11.2509765625,0.12124710300031438,1.8950080929998876,2.016255196000202,258764,0,30.245074416557284,0.8853524594000786,False
1098,JPEG,512,384,589824,43509,13.556367648072813,92.62339274088541,1.7703857421875,0.0010145300002477597,0.0011435769997660827,0.0021581070000138425,258764,0,33.39104507413825,0.9144661575949414,False
1098,Huffman,512,384,589824,569731,1.035267520987975,3.406609429253471,23.182413736979168,0.04096386599985635,0.11586106599997947,0.15682493199983583,258764,0,inf,1.0,True
1098,LZW,512,384,589824,585393,1.0075692739749194,0.751241048177087,23.8197021484375,0.006335389000014402,0.0028582420000020647,0.009193631000016467,258764,0,inf,1.0,True
1098,Slepian-Wolf,512,384,589824,571411,1.032223740880032,3.121778700086808,23.250773111979168,0.11197015300012936,1.1212305130002278,1.2332006660003572,258764,0,37.65659813994231,0.9919300548544441,False
1098,Wyner-Ziv,512,384,589824,276504,2.133148164221856,53.12093098958333,11.2509765625,0.11535010999978113,1.3494219210001575,1.4647720309999386,258764,0,33.003780646782026,0.8999271908054901,False
1099,JPEG,384,512,589824,42216,13.971574758385445,92.84261067708334,1.7177734375,0.00102507700012211,0.0011419620000197028,0.0021670390001418127,258764,0,33.553702563473145,0.9027685195419451,False
1099,Huffman,384,512,589824,548762,1.0748266097142294,6.961737738715279,22.329182942708332,0.03875004500014256,0.10973143000001073,0.1484814750001533,258764,0,inf,1.0,True
1099,LZW,384,512,589824,538862,1.0945733787129173,8.640204535590279,21.926350911458332,0.005989141000100062,0.0027140479996887734,0.008703188999788836,258764,0,inf,1.0,True
1099,Slepian-Wolf,384,512,589824,571411,1.032223740880032,3.121778700086808,23.250773111979168,0.10757823600033589,0.7020329179999862,0.8096111540003221,258764,0,40.425520227697255,0.9948324027476808,False
1099,Wyner-Ziv,384,512,589824,276504,2.133148164221856,53.12093098958333,11.2509765625,0.11557893300005162,0.6421526140002243,0.7577315470002759,258764,0,34.22025466937746,0.9021597586563285,False
11,JPEG,512,384,589824,45323,13.013789907993734,92.31584337022569,1.8441975911458333,0.0010505909999665164,0.0011577640002542466,0.002208355000220763,258764,0,34.05769296669802,0.9432170155320492,False
