algorithm,psnr,ssim,edge_preservation,iou,dice_coefficient,precision,recall,compression_ratio,execution_time,cpu_usage,memory_usage_mb,performance_score
MobileNet-Seg,13.52321269095379,0.5201877414852999,0.0824561403508772,0.5601226613802502,0.7180495165485338,0.9836805744437795,0.5653764382191095,0.0,0.26079654693603516,99.7,0.0,65.89734484354655
K-Means,26.036209823501025,0.7710298108268917,0.25900262467191604,0.47027143472641103,0.6397069597069597,0.9941448181640752,0.47157758301444264,0.0,0.3363988399505615,101.1,0.0,65.5453372001648
Otsu,12.367831799088997,0.4065237041717125,0.2364369122661982,0.6034941482244744,0.7527238548300468,0.994550892133009,0.605496235032712,0.0,0.0016963481903076172,0.0,0.0,99.9943455060323
Adaptive Thresholding,10.859143436405708,0.3044282607973829,0.17528237153540727,0.5317145231280583,0.6942736588306209,0.9948750431878383,0.5331749166769535,0.0,0.0016942024230957031,0.0,0.0,99.99435265858968
Region Growing,10.813930858514771,-0.010751919235194434,0.13889450282942603,0.5760173613248785,0.7309784466341788,0.9956370214690468,0.5774750030860387,0.0,0.07333016395568848,109.1,0.0,66.42223278681438
Split and Merge,12.367831799088997,0.4065237041717125,0.2364369122661982,0.6034941482244744,0.7527238548300468,0.994550892133009,0.605496235032712,0.0,0.005427360534667969,0.0,0.0,99.98190879821777
MobileNet-Seg,7.828784632901316,0.20316317875852327,0.1451801933782596,0.2194327860757931,0.3598932037606448,1.0,0.2194327860757931,0.0,0.26560068130493164,101.6,0.00390625,65.78120085398356
K-Means,23.60101995542586,0.6868963893720225,0.21379805964786203,0.7799723716309556,0.8763870541611625,0.9628809869375907,0.8041515151515152,0.0,0.31671643257141113,101.0,0.0,65.61094522476196
Otsu,12.264783767485634,0.42448594196891315,0.18222961115729194,0.6900607370805024,0.8166105772891319,0.8207474976277205,0.8125151515151515,0.0,0.0015609264373779297,0.0,0.0,99.99479691187541
Adaptive Thresholding,11.59664920783067,0.29883037285136815,0.15440744778998575,0.43925288251791833,0.6103901376239902,0.5514585421913588,0.6834242424242424,0.0,0.001215219497680664,0.0,0.0,99.99594926834106
Region Growing,6.745174902386334,0.05948409450999568,0.09475925706849639,0.10558846252897244,0.19100861868157465,0.41289023162134947,0.12424242424242424,0.0,0.02071356773376465,96.5,0.0,67.76428810755412
Split and Merge,12.264783767485634,0.42448594196891315,0.18222961115729194,0.6900607370805024,0.8166105772891319,0.8207474976277205,0.8125151515151515,0.0,0.014238119125366211,140.4,0.0,66.61920626958211
MobileNet-Seg,8.650576331303036,0.27838255952061125,0.10964243348584986,0.6291282671098353,0.7723495808294384,0.9954580225664563,0.6309393939393939,0.0,0.27552366256713867,101.6,0.0,65.74825445810954
K-Means,22.672644928978908,0.6809094212610649,0.28314587593728696,0.6535894330695355,0.790509929488708,0.9724689909487093,0.6659110473457676,0.0,0.28949880599975586,100.2,0.0,65.70167064666748
Otsu,14.293862732761882,0.4554371618986084,0.24604685818362448,0.6991586085646113,0.8229468456217112,0.848637278214743,0.7987661406025824,0.0,0.0017371177673339844,0.0,0.0,99.99420960744222
Adaptive Thresholding,12.054216326357558,0.383149046442999,0.21349651538330783,0.45168814508134586,0.6222936332596907,0.5833563449228065,0.6668005738880918,0.0,0.0015919208526611328,0.0,0.0,99.99469359715779
Region Growing,6.518187968386243,0.013563642048060385,0.10763773417581199,0.0,0.0,0.0,0.0,0.0,0.01474905014038086,135.5,0.0,66.61750316619873
Split and Merge,14.293862732761882,0.4554371618986084,0.24604685818362448,0.6991586085646113,0.8229468456217112,0.848637278214743,0.7987661406025824,0.0,0.01579570770263672,126.5,0.0,66.61401430765788
MobileNet-Seg,6.3703456512473196,0.001717742808058053,0.0,0.0,0.0,0.0,0.0,0.0,0.26105546951293945,99.6,0.00390625,65.9296848932902
K-Means,23.520567110623357,0.7082021147133091,0.23885114268066707,0.36682623042245666,0.5367562053723224,0.987942256341789,0.3684759266751735,0.0,0.2633507251739502,98.7,0.0,66.22216424942017
Otsu,16.10131528124779,0.5142012879715089,0.4459412088737543,0.5753321325759325,0.7304264550678184,0.9816916206987129,0.5815723133422551,0.0,0.0015721321105957031,634.7,0.0,66.66142622629802
Adaptive Thresholding,12.58275966122177,0.45323799849996876,0.32354360821297296,0.5458764396614194,0.7062355381792069,0.9834175879117827,0.5509476829230339,0.0,0.0016396045684814453,0.0,0.0,99.9945346514384
Region Growing,7.859244369949581,0.013944778235253195,0.02920196165849309,0.03166723724751797,0.061390409822465575,1.0,0.03166723724751797,0.0,0.007477760314941406,0.0,0.0,99.97507413228352
Split and Merge,16.10131528124779,0.5142012879715089,0.4459412088737543,0.5753321325759325,0.7304264550678184,0.9816916206987129,0.5815723133422551,0.0,0.0357050895690918,112.0,0.0,66.54764970143636
