timestamp,node_id,image_id,algorithm,profile,psnr_db,ssim,mask_iou,mask_dice,cpu_time_ms,memory_kb,compressed_bytes,compression_ratio
2026-08-30T07:54:22.895472,1,img_0059,ADRES,Q,24.767,0.8319,0.9267,0.9619,3775.023,41600.0,95181.0,9.68
2026-08-30T07:54:22.895472,1,img_0059,ADRES,E,20.168,0.7353,0.9267,0.9619,2929.126,41600.0,55396.0,16.64
2026-08-30T07:54:31.499630,1,img_0060,ADRES,Q,24.762,0.8315,0.9267,0.9619,3825.942,41600.0,94826.0,9.72
2026-08-30T07:54:31.499630,1,img_0060,ADRES,E,20.19,0.7363,0.9267,0.9619,2961.322,41600.0,55517.0,16.6
2026-08-30T07:54:39.556053,1,img_0061,ADRES,Q,25.208,0.8498,0.9381,0.9681,3413.993,41600.0,83853.0,10.99
2026-08-30T07:54:39.556053,1,img_0061,ADRES,E,20.5,0.7515,0.9381,0.9681,2940.243,41600.0,54020.0,17.06
2026-08-30T07:54:47.624413,1,img_0062,ADRES,Q,25.237,0.8493,0.9381,0.9681,3415.123,41600.0,85545.0,10.77
2026-08-30T07:54:47.624413,1,img_0062,ADRES,E,20.501,0.7499,0.9381,0.9681,2922.387,41600.0,54446.0,16.93
2026-08-30T07:54:55.762263,1,img_0063,ADRES,Q,25.225,0.8502,0.9381,0.9681,3329.682,41600.0,86412.0,10.67
2026-08-30T07:54:55.762263,1,img_0063,ADRES,E,20.508,0.7511,0.9381,0.9681,2910.168,41600.0,54647.0,16.86
2026-08-30T07:55:03.847098,1,img_0064,ADRES,Q,25.284,0.8499,0.9381,0.9681,3341.69,41600.0,85001.0,10.84
2026-08-30T07:55:03.847098,1,img_0064,ADRES,E,20.548,0.7504,0.9381,0.9681,2949.288,41600.0,54183.0,17.01
2026-08-30T07:55:11.963241,1,img_0065,ADRES,Q,22.773,0.793,0.86,0.9247,3659.643,41600.0,94912.0,9.71
2026-08-30T07:55:11.963241,1,img_0065,ADRES,E,19.594,0.6675,0.86,0.9247,2776.007,41600.0,54114.0,17.03
2026-08-30T07:55:20.242260,1,img_0066,ADRES,Q,22.757,0.791,0.86,0.9247,3782.471,41600.0,96018.0,9.6
2026-08-30T07:55:20.242260,1,img_0066,ADRES,E,19.599,0.6678,0.86,0.9247,2762.167,41600.0,54304.0,16.97
2026-08-30T07:55:28.406312,1,img_0067,ADRES,Q,22.809,0.7934,0.86,0.9247,3724.36,41600.0,95078.0,9.69
